# name re im q p
# Candidates for the catalogue. tools/catalogue.py keeps at most one
# point per MIN_SEPARATION of the plane and takes the first of a cluster,
# so where two share a neighbourhood the one listed first wins -- each
# pair below is grouped, larger |lambda| first, since it buys more zoom
# per loop and escapes sooner.
antler -0.22717629158694791 1.1172358534756355 2 6
spindle -0.22278951913565001 1.1199789829441407 4 4
bramble -1.7701737298545475 0.064167591269772839 2 5
coral -1.7712570233562461 0.066161509079844805 5 1
dragon 0.44455687925504372 0.40993310830098434 5 1
dagger -1.2950939761321234 0.44167295820921443 2 6
star -0.63045731325065413 0.68703931218170045 2 6
tendril -0.63675434658238994 0.68503129708367727 5 1
lattice 0.41771637811376544 0.61699280289278702 2 6
thistle -0.011448297242075153 1.0231082080934817 4 4
lightning -1.2392255553895675 0.41260218160200357 2 3
claw 0.44875200192771447 0.23075928523387157 4 4
lizard 0.34390699597256807 0.70062002023500491 4 3
snowflake -0.67975265879283575 0.47346632428008284 2 6
thorns -1.4261061293843751 0.15385898610026291 4 4
